SaleID,DateKey,CustomerKey,ProductKey,StoreKey,Quantity,UnitListPrice,DiscountPct,UnitSalePrice,TotalSale,TotalCost,Profit,MarginPct,PaymentMethod,SaleChannel,ReturnFlag
VTA-0000050,20220110,10,7,14,1,843.52,0.0,843.52,843.52,595.51,248.01,29.4,Tarjeta Debito,Tienda Fisica,No
VTA-0000051,20220110,170,19,14,3,131.45,0.0,131.45,394.35,255.51,138.84,35.21,Transferencia,Tienda Fisica,No
VTA-0000052,20220110,15,6,12,2,356.83,0.0,356.83,713.66,508.68,204.98,28.72,PayPal,Tienda Fisica,Si
VTA-0000053,20220110,68,7,5,1,843.52,25.0,632.64,632.64,595.51,37.13,5.87,Transferencia,Telefono,No
VTA-0000054,20220110,135,23,4,1,126.32,5.0,120.0,120.0,92.36,27.64,23.03,Tarjeta Debito,App Movil,No
VTA-0000055,20220111,18,20,20,1,104.32,0.0,104.32,104.32,65.71,38.61,37.01,PayPal,Telefono,No
VTA-0000056,20220111,60,33,10,3,4.47,5.0,4.25,12.75,10.77,1.98,15.53,Transferencia,Online,No
VTA-0000057,20220111,27,13,8,1,128.52,0.0,128.52,128.52,77.81,50.71,39.46,Tarjeta Credito,Online,No
VTA-0000058,20220111,38,8,5,1,554.6,10.0,499.14,499.14,400.05,99.09,19.85,Tarjeta Debito,Telefono,No
VTA-0000059,20220111,149,47,14,1,188.85,15.0,160.52,160.52,115.92,44.6,27.78,Transferencia,App Movil,No
VTA-0000060,20220111,34,25,17,3,75.49,10.0,67.94,203.82,161.22,42.6,20.9,Efectivo,Telefono,No
VTA-0000061,20220111,79,25,6,1,75.49,0.0,75.49,75.49,53.74,21.75,28.81,Transferencia,Tienda Fisica,Si
VTA-0000062,20220112,183,50,3,1,210.24,25.0,157.68,157.68,134.84,22.84,14.49,PayPal,Telefono,No
VTA-0000063,20220112,151,3,17,3,530.38,25.0,397.78,1193.34,1111.26,82.08,6.88,Efectivo,Telefono,No
VTA-0000064,20220112,141,47,11,1,188.85,0.0,188.85,188.85,115.92,72.93,38.62,Tarjeta Debito,App Movil,No
VTA-0000065,20220112,166,9,2,2,592.99,10.0,533.69,1067.38,859.96,207.42,19.43,PayPal,Online,No
VTA-0000066,20220112,80,19,12,1,131.45,0.0,131.45,131.45,85.17,46.28,35.21,Tarjeta Credito,Telefono,No
VTA-0000067,20220113,51,36,16,2,7.47,20.0,5.98,11.96,11.98,-0.02,-0.17,Tarjeta Credito,Tienda Fisica,Si
VTA-0000068,20220113,92,10,11,1,350.93,10.0,315.84,315.84,267.86,47.98,15.19,Tarjeta Debito,Online,No
VTA-0000069,20220113,118,26,15,1,129.39,20.0,103.51,103.51,82.81,20.7,20.0,Tarjeta Credito,Tienda Fisica,Si
VTA-0000070,20220113,191,16,16,1,62.99,25.0,47.24,47.24,39.76,7.48,15.83,Efectivo,Online,No
VTA-0000071,20220113,64,9,3,1,592.99,30.0,415.09,415.09,429.98,-14.89,-3.59,OXXO Pay,Online,No
VTA-0000072,20220113,140,12,5,1,118.73,0.0,118.73,118.73,73.96,44.77,37.71,Tarjeta Credito,Telefono,No
VTA-0000073,20220114,57,7,4,1,843.52,20.0,674.82,674.82,595.51,79.31,11.75,Efectivo,App Movil,Si
VTA-0000074,20220114,188,22,17,2,172.53,0.0,172.53,345.06,233.0,112.06,32.48,PayPal,Tienda Fisica,No
VTA-0000075,20220114,190,49,7,2,315.78,10.0,284.2,568.4,438.58,129.82,22.84,Efectivo,Telefono,No
VTA-0000076,20220114,148,38,4,2,15.02,10.0,13.52,27.04,21.2,5.84,21.6,PayPal,Tienda Fisica,No
VTA-0000077,20220115,141,2,18,2,1044.13,0.0,1044.13,2088.26,1401.84,686.42,32.87,Transferencia,App Movil,No
VTA-0000078,20220115,143,36,18,2,7.47,0.0,7.47,14.94,11.98,2.96,19.81,OXXO Pay,Tienda Fisica,No
VTA-0000079,20220115,78,44,20,1,189.76,0.0,189.76,189.76,124.23,65.53,34.53,PayPal,App Movil,Si
VTA-0000080,20220115,194,26,8,3,129.39,30.0,90.57,271.71,248.43,23.28,8.57,PayPal,Tienda Fisica,No
VTA-0000081,20220115,25,10,14,2,350.93,0.0,350.93,701.86,535.72,166.14,23.67,Efectivo,App Movil,No
VTA-0000082,20220116,119,10,6,1,350.93,0.0,350.93,350.93,267.86,83.07,23.67,Tarjeta Credito,Tienda Fisica,No
VTA-0000083,20220116,142,11,13,1,137.12,0.0,137.12,137.12,87.63,49.49,36.09,Efectivo,Telefono,No
VTA-0000084,20220116,94,6,4,1,356.83,10.0,321.15,321.15,254.34,66.81,20.8,Transferencia,Online,No
VTA-0000085,20220116,199,23,11,2,126.32,0.0,126.32,252.64,184.72,67.92,26.88,Efectivo,Telefono,No
VTA-0000086,20220116,35,13,8,1,128.52,25.0,96.39,96.39,77.81,18.58,19.28,Tarjeta Credito,Tienda Fisica,No
VTA-0000087,20220116,123,18,6,2,137.89,0.0,137.89,275.78,167.62,108.16,39.22,Transferencia,Telefono,No
VTA-0000088,20220116,86,14,11,1,142.59,25.0,106.94,106.94,89.6,17.34,16.21,Transferencia,Tienda Fisica,No
VTA-0000089,20220116,75,8,18,2,554.6,0.0,554.6,1109.2,800.1,309.1,27.87,PayPal,App Movil,Si
VTA-0000090,20220117,194,1,7,2,330.81,25.0,248.11,496.22,458.0,38.22,7.7,Transferencia,Online,No
VTA-0000091,20220117,181,47,3,1,188.85,0.0,188.85,188.85,115.92,72.93,38.62,Transferencia,Tienda Fisica,Si
VTA-0000092,20220117,39,17,16,1,108.44,0.0,108.44,108.44,64.09,44.35,40.9,Tarjeta Credito,Online,No
VTA-0000093,20220117,27,21,17,3,457.01,15.0,388.46,1165.38,972.48,192.9,16.55,Tarjeta Credito,Online,No
VTA-0000094,20220117,81,39,20,3,25.39,0.0,25.39,76.17,53.61,22.56,29.62,Tarjeta Debito,Tienda Fisica,No
VTA-0000095,20220117,44,3,8,1,530.38,25.0,397.78,397.78,370.42,27.36,6.88,Efectivo,Online,No
VTA-0000096,20220118,56,50,11,3,210.24,0.0,210.24,630.72,404.52,226.2,35.86,Tarjeta Debito,Telefono,No
VTA-0000097,20220118,103,12,9,1,118.73,0.0,118.73,118.73,73.96,44.77,37.71,Transferencia,App Movil,No
VTA-0000098,20220118,61,33,1,2,4.47,0.0,4.47,8.94,7.18,1.76,19.69,Tarjeta Debito,App Movil,No
VTA-0000099,20220118,9,11,19,5,137.12,10.0,123.41,617.05,438.15,178.9,28.99,Tarjeta Credito,Online,No
VTA-0000100,20220119,68,36,5,1,7.47,10.0,6.72,6.72,5.99,0.73,10.86,PayPal,Online,No
VTA-0000101,20220119,149,3,4,2,530.38,25.0,397.78,795.56,740.84,54.72,6.88,OXXO Pay,App Movil,No
VTA-0000102,20220119,87,31,9,1,6.83,5.0,6.49,6.49,5.17,1.32,20.34,Transferencia,Online,No
VTA-0000103,20220119,191,27,18,1,477.83,5.0,453.94,453.94,303.8,150.14,33.07,OXXO Pay,Tienda Fisica,Si
VTA-0000104,20220119,179,41,6,1,348.99,0.0,348.99,348.99,244.08,104.91,30.06,OXXO Pay,App Movil,Si
VTA-0000105,20220119,47,41,17,1,348.99,10.0,314.09,314.09,244.08,70.01,22.29,Transferencia,App Movil,No
VTA-0000106,20220119,190,15,7,2,82.81,30.0,57.97,115.94,96.9,19.04,16.42,OXXO Pay,Online,No
VTA-0000107,20220120,103,47,13,2,188.85,25.0,141.64,283.28,231.84,51.44,18.16,Tarjeta Debito,Telefono,No
VTA-0000108,20220120,183,47,3,1,188.85,0.0,188.85,188.85,115.92,72.93,38.62,Tarjeta Credito,App Movil,No
VTA-0000109,20220120,24,7,17,1,843.52,15.0,716.99,716.99,595.51,121.48,16.94,Tarjeta Credito,Telefono,No
VTA-0000110,20220120,96,10,19,2,350.93,15.0,298.29,596.58,535.72,60.86,10.2,Transferencia,App Movil,No
VTA-0000111,20220121,173,10,2,1,350.93,0.0,350.93,350.93,267.86,83.07,23.67,Transferencia,Online,No
VTA-0000112,20220121,60,46,8,1,480.87,5.0,456.83,456.83,335.5,121.33,26.56,OXXO Pay,App Movil,No
VTA-0000113,20220121,83,21,10,2,457.01,20.0,365.61,731.22,648.32,82.9,11.34,Tarjeta Credito,Online,No
VTA-0000114,20220121,87,32,10,1,4.17,20.0,3.34,3.34,3.08,0.26,7.78,Tarjeta Credito,Telefono,No
VTA-0000115,20220121,142,3,5,1,530.38,30.0,371.27,371.27,370.42,0.85,0.23,Tarjeta Debito,Tienda Fisica,No
VTA-0000116,20220121,126,20,1,1,104.32,0.0,104.32,104.32,65.71,38.61,37.01,OXXO Pay,Telefono,No
VTA-0000117,20220121,147,43,15,1,334.93,30.0,234.45,234.45,217.68,16.77,7.15,PayPal,App Movil,No
VTA-0000118,20220121,103,4,12,2,727.14,10.0,654.43,1308.86,1051.88,256.98,19.63,PayPal,App Movil,Si
VTA-0000119,20220121,156,34,5,1,4.77,20.0,3.82,3.82,3.95,-0.13,-3.4,PayPal,Online,No
VTA-0000120,20220122,100,43,15,1,334.93,0.0,334.93,334.93,217.68,117.25,35.01,Tarjeta Credito,Online,No
VTA-0000121,20220122,135,49,14,2,315.78,0.0,315.78,631.56,438.58,192.98,30.56,Tarjeta Credito,App Movil,No
VTA-0000122,20220122,175,49,11,1,315.78,10.0,284.2,284.2,219.29,64.91,22.84,Tarjeta Debito,Online,Si
VTA-0000123,20220122,65,14,1,3,142.59,5.0,135.46,406.38,268.8,137.58,33.86,Transferencia,App Movil,No
VTA-0000124,20220122,88,2,18,1,1044.13,20.0,835.3,835.3,700.92,134.38,16.09,Tarjeta Credito,Online,No
VTA-0000125,20220123,178,38,17,1,15.02,20.0,12.02,12.02,10.6,1.42,11.81,Tarjeta Credito,Online,No
VTA-0000126,20220123,101,5,16,1,956.08,0.0,956.08,956.08,645.16,310.92,32.52,Transferencia,Telefono,No
VTA-0000127,20220123,53,45,16,1,144.66,0.0,144.66,144.66,88.08,56.58,39.11,OXXO Pay,App Movil,No
VTA-0000128,20220124,60,12,8,2,118.73,10.0,106.86,213.72,147.92,65.8,30.79,OXXO Pay,Tienda Fisica,No
VTA-0000129,20220125,43,35,8,2,22.04,0.0,22.04,44.08,32.5,11.58,26.27,PayPal,Online,No
VTA-0000130,20220125,183,20,14,1,104.32,0.0,104.32,104.32,65.71,38.61,37.01,Transferencia,Online,No
VTA-0000131,20220125,193,31,9,2,6.83,0.0,6.83,13.66,10.34,3.32,24.3,Tarjeta Credito,App Movil,No
VTA-0000132,20220126,143,12,11,1,118.73,0.0,118.73,118.73,73.96,44.77,37.71,Transferencia,Tienda Fisica,No
VTA-0000133,20220126,44,45,4,1,144.66,0.0,144.66,144.66,88.08,56.58,39.11,OXXO Pay,Online,No
VTA-0000134,20220126,133,26,3,2,129.39,0.0,129.39,258.78,165.62,93.16,36.0,PayPal,Tienda Fisica,No
VTA-0000135,20220126,82,7,18,2,843.52,5.0,801.34,1602.68,1191.02,411.66,25.69,Tarjeta Debito,App Movil,No
VTA-0000136,20220127,118,8,4,1,554.6,0.0,554.6,554.6,400.05,154.55,27.87,Transferencia,App Movil,No
VTA-0000137,20220127,118,11,3,1,137.12,20.0,109.7,109.7,87.63,22.07,20.12,Efectivo,Online,No
VTA-0000138,20220127,158,6,18,1,356.83,30.0,249.78,249.78,254.34,-4.56,-1.83,PayPal,Telefono,No
VTA-0000139,20220127,86,20,11,2,104.32,5.0,99.1,198.2,131.42,66.78,33.69,Tarjeta Debito,App Movil,No
VTA-0000140,20220128,169,13,20,2,128.52,30.0,89.96,179.92,155.62,24.3,13.51,Tarjeta Credito,Online,Si
VTA-0000141,20220128,126,36,11,1,7.47,30.0,5.23,5.23,5.99,-0.76,-14.53,Tarjeta Credito,Telefono,No
VTA-0000142,20220128,5,37,19,1,11.8,0.0,11.8,11.8,8.53,3.27,27.71,Tarjeta Credito,Tienda Fisica,No
VTA-0000143,20220128,63,40,6,1,14.65,0.0,14.65,14.65,10.55,4.1,27.99,Efectivo,Online,No
VTA-0000144,20220129,20,50,6,2,210.24,15.0,178.7,357.4,269.68,87.72,24.54,Transferencia,Online,No
VTA-0000145,20220129,36,29,19,1,82.71,5.0,78.57,78.57,60.64,17.93,22.82,OXXO Pay,Tienda Fisica,No
VTA-0000146,20220129,124,14,2,1,142.59,15.0,121.2,121.2,89.6,31.6,26.07,Tarjeta Credito,Tienda Fisica,No
VTA-0000147,20220129,88,43,12,1,334.93,30.0,234.45,234.45,217.68,16.77,7.15,PayPal,Online,No
VTA-0000148,20220130,50,25,9,1,75.49,0.0,75.49,75.49,53.74,21.75,28.81,Transferencia,Online,Si
VTA-0000149,20220130,93,44,5,2,189.76,25.0,142.32,284.64,248.46,36.18,12.71,PayPal,App Movil,Si
VTA-0000150,20220130,186,31,10,3,6.83,25.0,5.12,15.36,15.51,-0.15,-0.98,Efectivo,Tienda Fisica,No
VTA-0000151,20220130,199,17,7,1,108.44,0.0,108.44,108.44,64.09,44.35,40.9,Tarjeta Debito,Online,No
VTA-0000152,20220131,153,42,19,1,400.59,0.0,400.59,400.59,266.21,134.38,33.55,Efectivo,Tienda Fisica,No
VTA-0000153,20220131,99,29,19,1,82.71,0.0,82.71,82.71,60.64,22.07,26.68,Tarjeta Debito,Tienda Fisica,No
VTA-0000154,20220201,178,27,16,2,477.83,5.0,453.94,907.88,607.6,300.28,33.07,Tarjeta Credito,Telefono,No
VTA-0000155,20220201,53,43,7,1,334.93,0.0,334.93,334.93,217.68,117.25,35.01,OXXO Pay,Telefono,No
VTA-0000156,20220201,123,18,18,1,137.89,10.0,124.1,124.1,83.81,40.29,32.47,Tarjeta Credito,Online,No
VTA-0000157,20220201,2,19,20,1,131.45,20.0,105.16,105.16,85.17,19.99,19.01,Tarjeta Credito,Online,Si
VTA-0000158,20220202,116,45,7,1,144.66,25.0,108.5,108.5,88.08,20.42,18.82,Tarjeta Debito,App Movil,No
VTA-0000159,20220202,150,13,12,1,128.52,20.0,102.82,102.82,77.81,25.01,24.32,Efectivo,Online,No
VTA-0000160,20220203,11,25,12,1,75.49,0.0,75.49,75.49,53.74,21.75,28.81,OXXO Pay,Telefono,Si
VTA-0000161,20220203,124,34,16,2,4.77,0.0,4.77,9.54,7.9,1.64,17.19,Tarjeta Debito,App Movil,No
VTA-0000162,20220203,111,27,20,3,477.83,5.0,453.94,1361.82,911.4,450.42,33.07,PayPal,Tienda Fisica,No
VTA-0000163,20220204,142,25,6,1,75.49,0.0,75.49,75.49,53.74,21.75,28.81,PayPal,App Movil,No
VTA-0000164,20220204,63,30,2,1,547.47,25.0,410.6,410.6,364.07,46.53,11.33,Efectivo,Telefono,No
VTA-0000165,20220204,42,12,11,3,118.73,30.0,83.11,249.33,221.88,27.45,11.01,Tarjeta Credito,App Movil,No
VTA-0000166,20220204,178,43,10,1,334.93,0.0,334.93,334.93,217.68,117.25,35.01,OXXO Pay,App Movil,Si
VTA-0000167,20220204,61,46,5,5,480.87,5.0,456.83,2284.15,1677.5,606.65,26.56,Transferencia,Telefono,No
VTA-0000168,20220205,159,32,6,1,4.17,10.0,3.75,3.75,3.08,0.67,17.87,Tarjeta Debito,Online,Si
VTA-0000169,20220205,166,21,18,2,457.01,0.0,457.01,914.02,648.32,265.7,29.07,Tarjeta Credito,Online,No
VTA-0000170,20220205,172,9,13,2,592.99,15.0,504.04,1008.08,859.96,148.12,14.69,OXXO Pay,Online,Si
VTA-0000171,20220206,182,18,13,2,137.89,25.0,103.42,206.84,167.62,39.22,18.96,Tarjeta Credito,Telefono,Si
VTA-0000172,20220206,189,35,4,1,22.04,5.0,20.94,20.94,16.25,4.69,22.4,PayPal,App Movil,No
VTA-0000173,20220206,46,4,10,1,727.14,0.0,727.14,727.14,525.94,201.2,27.67,Transferencia,Telefono,No
VTA-0000174,20220206,146,31,2,2,6.83,0.0,6.83,13.66,10.34,3.32,24.3,Tarjeta Credito,Tienda Fisica,No
VTA-0000175,20220207,185,4,7,1,727.14,25.0,545.36,545.36,525.94,19.42,3.56,Tarjeta Debito,Telefono,No
VTA-0000176,20220207,136,42,15,1,400.59,25.0,300.44,300.44,266.21,34.23,11.39,Tarjeta Debito,App Movil,No
VTA-0000177,20220207,172,27,18,4,477.83,15.0,406.16,1624.64,1215.2,409.44,25.2,PayPal,Telefono,No
VTA-0000178,20220207,50,33,2,1,4.47,10.0,4.02,4.02,3.59,0.43,10.7,PayPal,Telefono,No
VTA-0000179,20220207,35,22,4,1,172.53,0.0,172.53,172.53,116.5,56.03,32.48,Transferencia,Online,No
VTA-0000180,20220208,33,45,9,1,144.66,10.0,130.19,130.19,88.08,42.11,32.35,Transferencia,App Movil,No
VTA-0000181,20220208,101,8,16,2,554.6,5.0,526.87,1053.74,800.1,253.64,24.07,Tarjeta Debito,App Movil,Si
VTA-0000182,20220208,151,22,14,1,172.53,0.0,172.53,172.53,116.5,56.03,32.48,Tarjeta Credito,Online,Si
VTA-0000183,20220208,162,1,16,1,330.81,10.0,297.73,297.73,229.0,68.73,23.08,Tarjeta Debito,Telefono,No
VTA-0000184,20220208,68,32,7,1,4.17,20.0,3.34,3.34,3.08,0.26,7.78,Efectivo,Online,No
VTA-0000185,20220208,169,13,4,1,128.52,0.0,128.52,128.52,77.81,50.71,39.46,Tarjeta Debito,App Movil,No
VTA-0000186,20220209,98,50,14,2,210.24,20.0,168.19,336.38,269.68,66.7,19.83,Tarjeta Debito,Tienda Fisica,Si
VTA-0000187,20220209,109,34,5,4,4.77,20.0,3.82,15.28,15.8,-0.52,-3.4,Tarjeta Credito,Online,Si
VTA-0000188,20220209,28,42,16,1,400.59,20.0,320.47,320.47,266.21,54.26,16.93,Efectivo,Online,Si
VTA-0000189,20220209,25,40,18,2,14.65,0.0,14.65,29.3,21.1,8.2,27.99,Tarjeta Debito,App Movil,Si
VTA-0000190,20220210,48,3,16,1,530.38,0.0,530.38,530.38,370.42,159.96,30.16,Transferencia,App Movil,No
VTA-0000191,20220210,150,3,16,2,530.38,0.0,530.38,1060.76,740.84,319.92,30.16,Transferencia,App Movil,No
VTA-0000192,20220210,24,36,16,2,7.47,5.0,7.1,14.2,11.98,2.22,15.63,Efectivo,Telefono,No
VTA-0000193,20220210,50,31,3,2,6.83,10.0,6.15,12.3,10.34,1.96,15.93,Tarjeta Credito,Tienda Fisica,No
VTA-0000194,20220211,177,42,2,1,400.59,0.0,400.59,400.59,266.21,134.38,33.55,OXXO Pay,Online,No
VTA-0000195,20220211,24,15,14,2,82.81,0.0,82.81,165.62,96.9,68.72,41.49,Efectivo,App Movil,No
VTA-0000196,20220211,6,1,1,1,330.81,5.0,314.27,314.27,229.0,85.27,27.13,Tarjeta Debito,Tienda Fisica,Si
VTA-0000197,20220211,139,43,19,1,334.93,20.0,267.94,267.94,217.68,50.26,18.76,OXXO Pay,Tienda Fisica,Si
VTA-0000198,20220211,142,33,17,1,4.47,30.0,3.13,3.13,3.59,-0.46,-14.7,Efectivo,Tienda Fisica,Si
VTA-0000199,20220211,65,50,5,1,210.24,0.0,210.24,210.24,134.84,75.4,35.86,OXXO Pay,Tienda Fisica,No
VTA-0000200,20220211,27,36,14,1,7.47,25.0,5.6,5.6,5.99,-0.39,-6.96,Tarjeta Debito,Online,No
VTA-0000201,20220212,140,1,9,1,330.81,5.0,314.27,314.27,229.0,85.27,27.13,Efectivo,Telefono,No
VTA-0000202,20220212,157,4,15,4,727.14,0.0,727.14,2908.56,2103.76,804.8,27.67,Tarjeta Credito,App Movil,No
VTA-0000203,20220212,110,16,11,1,62.99,30.0,44.09,44.09,39.76,4.33,9.82,Efectivo,Online,Si
VTA-0000204,20220213,78,6,19,2,356.83,0.0,356.83,713.66,508.68,204.98,28.72,Transferencia,Online,No
VTA-0000205,20220213,141,40,3,1,14.65,20.0,11.72,11.72,10.55,1.17,9.98,Transferencia,Tienda Fisica,No
VTA-0000206,20220213,196,2,14,3,1044.13,30.0,730.89,2192.67,2102.76,89.91,4.1,PayPal,App Movil,No
VTA-0000207,20220213,161,40,10,1,14.65,0.0,14.65,14.65,10.55,4.1,27.99,Transferencia,Tienda Fisica,Si
VTA-0000208,20220213,33,24,12,2,101.94,30.0,71.36,142.72,134.54,8.18,5.73,Tarjeta Debito,App Movil,No
VTA-0000209,20220213,135,36,8,1,7.47,0.0,7.47,7.47,5.99,1.48,19.81,PayPal,Online,No
VTA-0000210,20220213,31,8,20,1,554.6,25.0,415.95,415.95,400.05,15.9,3.82,PayPal,Telefono,No
VTA-0000211,20220213,64,36,15,1,7.47,20.0,5.98,5.98,5.99,-0.01,-0.17,Tarjeta Credito,Online,No
VTA-0000212,20220214,79,16,20,2,62.99,20.0,50.39,100.78,79.52,21.26,21.1,Transferencia,Tienda Fisica,No
VTA-0000213,20220214,109,15,6,5,82.81,20.0,66.25,331.25,242.25,89.0,26.87,Efectivo,Online,No
VTA-0000214,20220215,71,10,4,1,350.93,20.0,280.74,280.74,267.86,12.88,4.59,Tarjeta Debito,App Movil,Si
VTA-0000215,20220215,65,32,17,1,4.17,30.0,2.92,2.92,3.08,-0.16,-5.48,Tarjeta Debito,Tienda Fisica,No
VTA-0000216,20220215,106,3,4,3,530.38,0.0,530.38,1591.14,1111.26,479.88,30.16,Efectivo,Online,Si
VTA-0000217,20220215,59,20,11,1,104.32,15.0,88.67,88.67,65.71,22.96,25.89,Tarjeta Debito,App Movil,Si
